    Generation =     3   Individual =     7
   0.01000   0.01000   0.01100   0.05600   8.02500   1.67010  -0.00320
     1    -0.2520     5.7000     5.6810
     2     2.0000     5.8000     5.7945
     3     5.0000     5.9500     5.9590
     4    10.0000     6.1000     6.1110
     5    15.0000     6.2500     6.2610
     6    20.0000     6.4000     6.4110
     7    25.0000     6.5000     6.5000
     8    32.0000     7.9500     7.9500

      2022  11  29  20  28   5.5308(0.0027)
         -99.3243(0.0107)-108.9372(0.0139)  8.0250(0.0415)
                   36.8931     128.3857  0.0346
      DNYA  7.843A  -0.025  9.363B  -0.072   10.824    54.365 345.883  2.338
      YOJB  8.028A   0.007  9.628B  -0.061   11.906    57.053 101.375  2.490
      DGLA  8.563A   0.021 10.563B   0.004   15.315    63.270 221.988  3.011
      DKSA  9.463A  -0.015  0.000C  99.990   21.434    71.839 273.428  3.947
      BUSA 10.253A  -0.016  0.000C  99.990   26.325    75.937  68.589  4.738
      YCHB 10.968A   0.041  0.000C  99.990   30.418    78.749 171.305  5.396
      PGEA 11.113A   0.040  0.000C  99.990   31.287    79.126 119.144  5.542
      YOW2 11.348C   0.055  0.000C  99.990   32.590    79.651  11.144  5.762
      JECB 11.568C   0.023  0.000C  99.990   34.106    80.282 330.245  6.014
      CHJ3 11.938B  -0.031 16.318C   0.034   36.696    81.360 266.616  6.439
      MGY2 12.338C  -0.041 17.048B   0.080   39.220    82.318 227.658  6.848
      BKWA 13.673A   0.025 19.183B   0.096   46.759    83.950 310.980  8.117
      CHYB 13.698A  -0.069  0.000C  99.990   47.448    84.040  82.994  8.236
      YEAB 14.448A  -0.016  0.000C  99.990   51.650    84.783 119.862  8.933
