    Generation =     3   Individual =     1
  -0.05000  -0.05500  -0.05500   0.06211  13.36005   1.72439   0.05431
     1    -0.2520     5.7000     5.8850
     2     2.0000     5.8000     5.9960
     3     5.0000     5.9500     6.1734
     4    10.0000     6.1000     6.3508
     5    15.0000     6.2500     6.4950
     6    20.0000     6.4000     6.6450
     7    25.0000     6.5000     6.5000
     8    32.0000     7.9500     7.9500

      2022  12  18  15  31  55.2465(0.0038)
         -81.2314(0.0142)-129.7705(0.0132) 13.3601(0.0439)
                   36.7072     128.5909  0.0463
      PGEA 58.053A   0.004 60.073B   0.009   10.528    39.386  58.949  2.803
      YCHB 58.728A  -0.017 61.268B   0.007   16.654    53.396 235.452  3.499
      ADOA 58.888A  -0.015 61.568B   0.037   17.883    55.547 146.699  3.656
      YOJB 59.148A   0.028 61.938B   0.034   19.457    57.890 340.180  3.873
      YEAB 60.078C  -0.096 63.648C  -0.068   26.974    67.049 100.881  4.927
      DGLA 60.723A   0.077  0.000C  99.990   30.068    69.522 288.127  5.399
      BUSA 60.753A   0.008 64.713B   0.015   30.820    70.345  11.656  5.499
      JAEA 61.723A   0.029  0.000C  99.990   37.125    74.702  73.703  6.448
      EUSB 62.138A   0.035  0.000C  99.990   39.928    76.552 167.350  6.856
      MGY2 63.249C  -0.053  0.000C  99.990   47.728    79.971 263.189  8.055
