2022 10 28 23 27 22
CHJ3 36.219A 38.048B
CGAA 38.019A 41.210C
DKSA 38.136A 41.312C
AGSA 38.206A 41.457C
JNPA 38.963A 42.829C
MGY2 38.951A 42.816C
BKWA 39.618A 43.817C
DGLA 40.087A 00.000C
BON2 40.203A 00.000C
BURB 40.759A 45.737C
SLSA 41.038A 46.272C
HWSA 42.014A 00.000C
BOGA 42.444B 48.575C
YOJB 43.281A 50.083C
YCHB 43.252A 50.155C
SAJB 43.367A 50.308C
ICN2 44.072A 51.303C
CEA2 43.033A 49.760C
JNUA 44.341A 00.000C
HONA 42.903A 49.488C
OKCB 43.622A 50.727C
SAJB 43.369A 50.298C
JCUA 43.034A 50.018C

CHJ3 8.467735 15.514591
CGAA 23.621624 26.962588
DKSA 23.765129 27.088399
AGSA 24.389677 27.637951
KESB 25.800195 28.890311
JNPA 29.813947 32.524936
MGY2 29.865006 32.571745
BKWA 33.424944 35.864005
DGLA 36.145047 38.411774
BON2 37.607986 39.791464
MGB 39.991495 42.051393
BURB 40.806600 42.827311
JECB 41.777385 43.753285
SLSA 42.746919 44.679963
DNYA 43.959110 45.841066
HWSA 49.123832 50.814868
BOGA 51.119925 52.747007
JCUA 55.902737 57.394390
YOJB 56.628986 58.101997
YCHB 57.324531 58.780114
SAJB 58.037638 59.475772
YAGA 59.605621 61.006803
YOW2 61.186940 62.552711
ICN2 61.441966 62.802191
OJSA 62.396620 63.736475
OPSA 69.167951 70.379013
ANHAT 69.427995 70.634598
BUSA 70.287548 71.479643
PYCB 71.706398 72.875287
IYIB 72.081346 73.244252
DNBA 73.179693 74.325416
PGEA 73.589563 74.729003
HESA 73.773818 74.910454
IYPA 75.025213 76.143172
SNDA 76.365265 77.463887
CGUB 76.845509 77.937361
JSTB 78.089437 79.164135
