    Generation =     3   Individual =     9
   0.01000   0.00900   0.01300   0.05711  12.97564   1.70210   0.00000
     1    -0.2590     5.8029     5.8759
     2     2.0000     5.8856     5.9500
     3     5.0000     6.0106     6.0498
     4    10.0000     6.1568     6.1665
     5    15.0000     6.3164     6.3294
     6    20.0000     6.4677     6.4807
     7    25.0000     6.5677     6.5807
     8    32.0000     7.9011     7.9141
     9    35.0000     8.0400     8.0400
    10    77.5000     8.0450     8.0450

      2022  10  28  23  27  33.5988(0.0018)
          -0.1311(0.0091)  -0.4182(0.0087) 12.9756(0.0281)
                   36.8762     127.8785  0.0420
      CHJ3 36.219A   0.002 38.048B  -0.007    8.591    33.891  92.377  2.618
      CGAA 38.019A  -0.010 41.210C   0.071   23.194    62.680 215.814  4.430
      DKSA 38.136A  -0.018 41.312C  -0.040   24.002    63.423  82.406  4.555
      AGSA 38.206A  -0.033 41.457C  -0.041   24.721    64.596 345.388  4.641
      MGY2 38.951A  -0.020 42.816C   0.073   29.566    68.889 146.663  5.372
      JNPA 38.963A  -0.009 42.829C   0.085   29.619    69.076 252.439  5.373
      BKWA 39.618A  -0.006 43.817C  -0.038   33.812    71.915  16.566  6.025
      DGLA 40.087A   0.073  0.000C  99.990   36.234    73.154 105.150  6.415
      BON2 40.203A   0.063  0.000C  99.990   37.105    73.846 191.144  6.541
      BURB 40.759A   0.009 45.737C  -0.033   41.108    76.279 343.777  7.151
      SLSA 41.038A  -0.005 46.272C   0.003   42.950    77.083 312.172  7.444
      HWSA 42.014A   0.059  0.000C  99.990   48.620    79.151 173.074  8.356
      BOGA 42.444B   0.086 48.575C   0.068   51.222    80.232 287.497  8.759
      HONA 42.903A  -0.024 49.488C   0.012   54.770    81.282 209.233  9.328
      CEA2 43.033A  -0.050 49.760C   0.019   55.711    81.470 264.073  9.484
      YCHB 43.252A  -0.081 50.155C  -0.013   57.307    81.962 119.393  9.734
      YOJB 43.281A   0.007 50.083C   0.016   56.891    81.761  90.284  9.675
      SAJB 43.369A  -0.020 50.298C   0.034   57.658    82.052 154.376  9.791
      OKCB 43.622A  -0.000 50.727C   0.067   59.095    82.375 187.197 10.023
      ICN2 44.072A   0.035 51.303C  -0.063   61.669    82.939 318.511 10.439
      JNUA 44.341A  -0.058  0.000C  99.990   63.929    83.425 251.340 10.800
