    Generation =     3   Individual =     7
   0.00000   0.00000   0.00100   0.05007  14.02694   1.67010   0.01695
     1    -0.0700     5.7000     5.5410
     2     2.0000     5.8000     5.6740
     3     5.0000     5.9500     5.8593
     4    10.0000     6.1000     6.0446
     5    15.0000     6.2500     6.1510
     6    20.0000     6.4000     6.3010
     7    25.0000     6.5000     6.5000
     8    32.0000     7.9500     7.9500

      2022  11   7   0  46  50.1068(0.0026)
        -144.4524(0.0110)-110.4133(0.0105) 14.0269(0.0338)
                   36.8740     127.8797  0.0250
      CHJ3 52.958A  -0.001 54.788B  -0.082    8.476    32.007  90.691  2.852
      CGAA 54.733A  -0.029 57.883B   0.002   23.047    61.577 216.383  4.655
      DKSA 54.893A  -0.007 58.063B  -0.048   23.938    62.535  81.772  4.793
      AGSA 55.093A   0.058 58.373B   0.036   24.997    64.086 345.276  4.928
      MGY2 55.658A  -0.004 59.368B  -0.016   29.168    68.276 146.399  5.555
      JNPA 55.728A  -0.012 59.538B   0.024   29.638    68.603 252.966  5.633
      BKWA 56.423A  -0.015  0.000C  99.990   34.023    71.795  16.272  6.331
      DGLA 56.813A   0.035  0.000C  99.990   36.072    72.926 104.785  6.671
      BON2 56.918A   0.023 61.678B   0.235   36.878    73.581 191.385  6.788
      BURB 57.578A  -0.013 62.588B  -0.019   41.384    76.353 343.732  7.484
      JECB 57.718A  -0.038 62.788B  -0.094   42.293    76.573  41.258  7.650
      SLSA 57.883A  -0.005  0.000C  99.990   43.203    77.161 312.326  7.782
      BOGA 59.223A   0.007  0.000C  99.990   51.400    80.267 287.720  9.109
