    Generation =     3   Individual =     5
   0.00000  -0.00100  -0.00100   0.04822  16.46691   1.67040   0.00494
     1    -0.1190     5.7000     5.6990
     2     2.0000     5.8000     5.8151
     3     5.0000     5.9500     5.9552
     4    10.0000     6.1000     6.0953
     5    15.0000     6.2500     6.2354
     6    20.0000     6.4000     6.3990
     7    25.0000     6.5000     6.5000
     8    32.0000     7.9500     7.9500

      2022   9  30  19  37  53.3243(0.0025)
        -210.9530(0.0187)-101.6564(0.0092) 16.4669(0.0276)
                   36.9402     127.1316  0.0363
      CEA2 57.348A   0.005 59.998B  -0.040   17.172    48.501 139.320  4.018
      BOGA 57.573A  -0.030 60.483B   0.011   19.382    52.488  65.134  4.278
      JNUA 58.873A   0.040  0.000C  99.990   28.363    64.115 167.521  5.508
      SLSA 60.693A   0.006  0.000C  99.990   40.720    74.201  57.722  7.363
      JNPA 60.858A   0.036 65.888B   0.037   41.595    74.760 112.650  7.498
      ICN2 61.578C  -0.002  0.000C  99.990   46.433    77.514  32.869  8.256
      SGNA 63.073A  -0.075  0.000C  99.990   56.352    82.048   4.615  9.824
      CGAA 63.623A   0.048  0.000C  99.990   59.029    83.006 115.934 10.251
      AGSA 64.113A  -0.006  0.000C  99.990   62.502    84.165  74.126 10.795
      BURB 64.278A  -0.028  0.000C  99.990   63.681    84.493  59.175 10.982
      HONA 64.973A  -0.014  0.000C  99.990   67.922    85.439 143.901 11.663
      BON2 65.878A  -0.054  0.000C  99.990   73.729    86.339 126.079 12.608
      JURA 66.113A   0.001  0.000C  99.990   74.978    86.585 356.985 12.788
      CHJ3 66.148A  -0.062  0.000C  99.990   75.512    86.607  95.437 12.885
      YAGA 66.343A   0.072  0.000C  99.990   75.935    86.684  46.670 12.946
      HWDB 66.738A  -0.032  0.000C  99.990   79.010    86.997  13.433 13.445
      BKWA 66.983A   0.018  0.000C  99.990   80.216    87.106  71.289 13.641
      CGUB 67.888A   0.027  0.000C  99.990   85.860    87.576  36.673 14.536
      OKCB 68.258A  -0.040  0.000C  99.990   88.590    87.747 137.827 14.974
      MGY2 68.338A   0.000  0.000C  99.990   88.811    87.752 110.773 15.014
      DKSA 68.553A  -0.051  0.000C  99.990   90.423    87.829  92.223 15.280
      UJBA 68.623C   0.028  0.000C  99.990   90.463    87.857 358.596 15.271
      HWSA 68.773A   0.024  0.000C  99.990   91.324    87.877 127.197 15.424
      MOGA 69.023A   0.030  0.000C  99.990   92.942    87.980  25.237 15.669
      JECB 69.788A   0.031  0.000C  99.990   97.623    88.165  75.184 16.432
      HESA 70.003A   0.035  0.000C  99.990   98.965    88.220  47.306 16.644
      SGMA 70.053A  -0.007  0.000C  99.990   99.515    88.236   7.918 16.736
