    Generation =     3   Individual =     2
  -0.02000  -0.02400  -0.02400   0.08336  15.95888   1.67010   0.07501
     1    -0.0850     5.7000     5.6060
     2     2.0000     5.8000     5.6908
     3     5.0000     5.9500     5.8245
     4    10.0000     6.1000     5.9582
     5    15.0000     6.2500     6.0919
     6    20.0000     6.4000     6.2760
     7    25.0000     6.5000     6.5000
     8    32.0000     7.9500     7.9500

      2022   7  27   3   0  29.0046(0.0119)
           1.9529(0.0873) -60.0678(0.0339) 15.9589(0.0551)
                   37.3388     129.5220  0.0656
      IMWB 33.408A   0.074 36.244B   0.009   19.500    53.767 234.938  4.329
      SNGB 36.158A  -0.018 40.958B  -0.024   38.629    73.775 271.407  7.172
      GAGA 36.293A   0.073 41.113B   0.057   38.869    73.842 233.539  7.216
      UJNA 36.435C   0.106  0.000C  99.990   39.607    74.481 194.048  7.324
      TOHA 36.468A   0.096 41.358B   0.049   39.889    74.689 298.128  7.368
      GGSA 39.033A   0.012 45.755C   0.021   56.073    82.845 215.916 10.017
      TBA2 39.045B   0.027 45.715C  -0.013   55.959    82.596 244.677 10.014
      LMGA 39.603C  -0.162 47.003B   0.027   60.670    84.664 286.432 10.760
      GWLA 40.273C   0.018  0.000C  99.990   63.536    85.330 258.146 11.251
      SUBA 40.853C   0.016  0.000C  99.990   67.275    86.448 203.444 11.832
      CHYB 41.198B  -0.003 49.378C   0.005   69.519    86.864 230.998 12.196
      JAEA 42.352B   0.052 51.303C   0.093   76.221    87.678 218.385 13.296
      KAWA 42.643C   0.004 51.795C   0.020   78.389    87.909 311.554 13.634
      SNDA 43.244C  -0.094  0.000C  99.990   82.581    88.167 264.309 14.333
      BUSA 43.910C  -0.036  0.000C  99.990   86.265    88.358 242.605 14.941
      YEYB 44.093A  -0.152 54.431C  -0.027   88.123    88.451 206.042 15.241
      YODB 44.554B   0.023 54.950C   0.014   89.944    88.542 186.400 15.527
      JMJ2 44.608C  -0.027 55.108C  -0.000   90.571    88.565 312.049 15.630
      YEAB 45.189B  -0.032 56.098C   0.010   94.066    88.670 216.993 16.216
      SKBA 45.523B   0.022 56.574C   0.019   95.754    88.719 198.635 16.496
      YOW2 45.540C  -0.013  0.000C  99.990   96.089    88.731 259.792 16.549
      PGEA 45.873C  -0.014 57.228C   0.029   98.147    88.792 228.909 16.882
      PYCB 46.223C   0.029 57.698C  -0.014   99.964    88.831 272.816 17.189
