    Generation =     2   Individual =     2
   0.00000  -0.04000  -0.04000   0.06513   0.63322   1.73646   0.00122
     1    -0.2670     5.7000     5.8600
     2     2.0000     5.8000     5.9600
     3     5.0000     5.9500     6.1100
     4    10.0000     6.1000     6.2600
     5    15.0000     6.2500     6.4100
     6    20.0000     6.4000     6.5600
     7    25.0000     6.5000     6.5000
     8    32.0000     7.9500     7.9500

      2022   8   6  12  21  21.0918(0.0008)
         -43.6117(0.0064) -84.7095(0.0065)  0.6332(0.0300)
                   37.1157     129.0093  0.0513
      TBA2 21.958A  -0.043 22.678B   0.022    5.119     0.000   0.000  0.909
      GAGA 23.513A  -0.030 25.313B   0.002   14.341     0.000   0.000  2.451
      GWLA 24.613C   0.049  0.000C  99.990   20.291     0.000   0.000  3.472
      CHYB 24.678A   0.024 27.178B  -0.045   20.853     0.000   0.000  3.563
      GGSA 25.293A   0.058  0.000C  99.990   24.246     0.000   0.000  4.143
      SNGB 25.608A  -0.010 28.888B   0.007   26.512     0.000   0.000  4.526
      BUSA 26.893A  -0.086  0.000C  99.990   34.485     0.000   0.000  5.887
      JAEA 27.153A   0.073 31.463B   0.065   35.077     0.000   0.000  5.988
      SUBA 28.183B   0.010  0.000C  99.990   41.503    79.489   0.000  7.082
      YEYB 30.448A   0.033 37.088B  -0.050   54.895    79.489   0.000  9.324
      PYCB 31.498C  -0.077  0.000C  99.990   61.788    79.489   0.000 10.483

