    Generation =     3   Individual =     1
  -0.03000  -0.03500  -0.03500   0.06631   4.59997   1.73203  -0.01380
     1    -0.0880     5.7000     5.8050
     2     2.0000     5.8000     5.9377
     3     5.0000     5.9500     6.1150
     4    10.0000     6.1000     6.2650
     5    15.0000     6.2500     6.4150
     6    20.0000     6.4000     6.5650
     7    25.0000     6.5000     6.5000
     8    32.0000     7.9500     7.9500

      2022  12  27  18  35  20.1410(0.0023)
         -13.9816(0.0176)-120.3565(0.0131)  4.6000(0.0506)
                   36.7954     129.3433  0.0357
      SUBA 22.183A  -0.017 23.693B  -0.014   11.003    66.727 262.579  2.059
      UJNA 24.093A   0.004 27.123B   0.145   22.758    80.278  15.862  3.949
      GGSA 24.133A   0.035 26.903B  -0.090   22.653    79.128 311.242  3.957
      YODB 25.228A  -0.015 28.988B   0.013   29.682    83.036 168.518  5.102
      YEYB 25.298A   0.057 29.078B   0.106   29.625    82.802 230.315  5.100
      JAEA 25.493A  -0.067 29.343B  -0.181   31.512    76.168 271.035  5.419
      SKBA 25.923B  -0.009 30.163B  -0.005   33.805    76.168 205.697  5.791
      GAGA 26.953A  -0.032  0.000C  99.990   40.286    76.168 337.554  6.844
      CHYB 27.178A  -0.038  0.000C  99.990   41.645    76.168 293.527  7.075
      YEAB 27.508A   0.012  0.000C  99.990   43.386    76.168 249.963  7.355
      TBA2 28.708B   0.052  0.000C  99.990   50.295    76.168 316.418  8.516
      PGEA 29.953A   0.020  0.000C  99.990   58.312    76.168 265.864  9.792
