    Generation =     3   Individual =     7
  -0.04000  -0.03900  -0.03900   0.05021   5.23022   1.67010  -0.00057
     1    -0.1850     5.7000     5.7010
     2     2.0000     5.8000     5.8138
     3     5.0000     5.9500     6.0110
     4    10.0000     6.1000     6.1610
     5    15.0000     6.2500     6.3110
     6    20.0000     6.4000     6.4610
     7    25.0000     6.5000     6.5000
     8    32.0000     7.9500     7.9500

      2023   7  29  10  43  56.2248(0.0010)
        -178.1572(0.0074)-228.5692(0.0083)  5.2302(0.0271)
                   35.8036     127.5290  0.0426
      DGHA 57.573A   0.029 58.443B   0.000    5.172    44.982  47.194  1.319
      JASA 59.303A   0.094  0.000C  99.990   16.273    78.582 182.735  2.984
      MALA 59.473A   0.047  0.000C  99.990   17.657    81.558 248.163  3.201
      DUSB 60.548C   0.010  0.000C  99.990   24.232    87.371  65.326  4.313
      WAJB 60.830A   0.027 63.910B  -0.014   25.999    88.379 305.136  4.578
      WICA 60.833A   0.025  0.000C  99.990   25.922    88.156 108.053  4.583
      IMSB 61.548C  -0.022  0.000C  99.990   30.592    88.946 226.044  5.345
      KMSB 62.108A   0.003 66.118B   0.005   33.816    89.164 352.778  5.880
      CHOA 62.748A   0.042  0.000C  99.990   37.465    89.332 276.473  6.481
      HAMB 62.790A   0.010  0.000C  99.990   37.883    89.338 148.849  6.555
      YDGA 63.143A   0.001  0.000C  99.990   40.001    89.387  36.549  6.918
      KCH2 63.358A   0.032  0.000C  99.990   41.079    89.410 120.810  7.101
      BLGA 63.573B   0.026 68.553B   0.016   42.451    89.453 331.495  7.322
      NAWB 63.740A  -0.070  0.000C  99.990   44.095    89.499 195.795  7.585
      JGNA 64.383A  -0.027  0.000C  99.990   47.607    89.545  80.173  8.185
      LIWA 64.763A  -0.017  0.000C  99.990   49.918    89.589   8.733  8.555
      IKSA 64.948A   0.022  0.000C  99.990   50.818    89.602 304.186  8.701
      GIJA 65.890A  -0.009  0.000C  99.990   56.687    89.664 269.394  9.674
      TAIA 65.963A   0.072  0.000C  99.990   56.633    89.662 252.670  9.667
      SUCA 66.260B  -0.093  0.000C  99.990   59.390    89.684 216.554 10.128
      YALB 66.498A  -0.086  0.000C  99.990   60.673    89.686  97.800 10.359
      CPR2 66.598A  -0.058  0.000C  99.990   61.144    89.692  40.496 10.431
      HCNA 67.098C   0.016  0.000C  99.990   63.781    89.714 114.416 10.858
      SEJA 67.110A  -0.032  0.000C  99.990   64.146    89.717  75.335 10.917
      JEU2 67.168A   0.001  0.000C  99.990   64.249    89.715 237.683 10.942
      NOSA 67.203C   0.013  0.000C  99.990   64.416    89.717 326.025 10.965
      OKCB 67.250A   0.000  0.000C  99.990   64.774    89.719  21.466 11.025
      TEJ2 67.293B   0.054  0.000C  99.990   64.714    89.719 347.403 11.014
      HACA 67.758C   0.041  0.000C  99.990   67.579    89.735 129.796 11.492
      GKSA 68.013B   0.006  0.000C  99.990   69.303    89.743 203.424 11.782
      HONA 68.363B   0.010  0.000C  99.990   71.391    89.753   3.591 12.128
      DAYA 68.880B   0.031  0.000C  99.990   74.413    89.768 222.692 12.624
      YGAA 69.063C  -0.020  0.000C  99.990   75.808    89.773  85.574 12.858
      SENA 69.280B  -0.007  0.000C  99.990   77.050    89.779 247.698 13.062
      PHDA 69.443B   0.079  0.000C  99.990   77.409    89.776 165.328 13.139
      BAU  69.518C   0.042  0.000C  99.990   78.008    89.776 175.476 13.251
      SECA 69.633B  -0.069  0.000C  99.990   79.533    89.787 298.511 13.477
      HWSA 69.753B  -0.042  0.000C  99.990   80.003    89.786  27.616 13.570
      GUMA 70.363C  -0.024  0.000C  99.990   83.636    89.800  54.776 14.162
      JAGA 70.533A   0.018  0.000C  99.990   84.398    89.802 230.575 14.290
      BON2 70.768A  -0.042  0.000C  99.990   86.091    89.805  16.183 14.585
      HSJB 71.000C  -0.045  0.000C  99.990   87.599    89.811 345.342 14.820
      SAJB 71.028C  -0.043  0.000C  99.990   87.733    89.811  39.855 14.846
      MSMB 71.240C  -0.021  0.000C  99.990   88.908    89.815 262.040 15.036
      SMWA 72.093C   0.041  0.000C  99.990   93.656    89.827 250.999 15.827
      GOCB 72.760C  -0.067  0.000C  99.990   98.325    89.837 239.254 16.602
